"","RIL","a_seed","b_seed","Klocal","disp_frac","RMS_dist","mean_dist","Pgap2","Pgap3","Ht_int","Ht_slope","germDD","mu","sd","speed_cont","speed_3p"
"1","3",5.62538001665213,0.504779174574181,550.04025271275,0.458225432738176,0.50994560798285,0.301407815844469,0.00345842830859548,0.000300021366016349,18.03,-1.35,-0.521937247907027,-0.554539905568713,0.520850936426173,1.78551475205284,1.83729699889606
"2","18",5.98894097998801,0.476191612129732,591.410870746419,0.648530217272229,0.773001895435267,0.537881995197244,0.0160645209957804,0.0021446755146105,20.84,-1.8,-0.521937247907027,-0.333188365967415,0.540590351334837,2.73034460137382,1.99999999997063
"3","22",5.96180014827139,0.434211459357666,628.998850330948,0.680209933946638,0.75327189556955,0.562521241735123,0.00872623531179352,0.000569726123890629,18.57,-1.37,-0.521937247907027,-0.289293028701364,0.445691481263698,2.15768028619677,1.99979246033931
"4","35",5.14329738600982,0.508907301183481,293.380906502006,0.51057783391222,0.621905409391082,0.439666143423384,1.31244192716107e-09,0,17.74,-1.29,-0.521937247907027,-0.160193656865233,0.146056419251342,0.608989096825347,0
"5","42",5.34966006032265,0.498429537121194,467.159626006938,0.448822519318042,0.50006098876835,0.307138693274261,0.0011754531541479,3.70442639541321e-05,19.05,-1.56,-0.521937247907027,-0.466194893168042,0.416813576261101,1.37113320510023,0.541322028953351
"6","53",4.91978765636643,0.454625564253919,366.353382345208,0.276096901642753,0.378951038174588,0.194341786606265,1.71791341309959e-07,3.11988421165544e-12,19.37,-1.54,-0.521937247907027,-0.375420424746272,0.22039475178497,0.685509752494842,4.27675379423362e-08
"7","58",5.31806526928177,0.540990611727876,446.484382023082,0.301745635910224,0.452755816750225,0.244139701892844,2.42201535887293e-07,7.62571773529834e-13,20.12,-1.78,-0.521937247907027,-0.230370680315156,0.192493601107762,0.745703852549169,1.02389656491041e-08
"8","101",5.27481474609239,0.458951054234437,593.118415808097,0.368643337355628,0.441092359671353,0.23789607886725,0.00176517736706807,0.000111955221814029,21.06,-1.89,-0.521937247907027,-0.556453193363653,0.486739184945451,1.44719723850466,1.33258331068142
"9","133",4.72288646657791,0.314120653602415,773.00599049721,0.191271947157455,0.267798174184675,0.113577029580707,4.86761511204468e-08,2.64324041305052e-12,17.46,-0.98,-0.521937247907027,-0.551937746771701,0.247882253160722,0.585246364050557,1.138312798268e-07
"10","144",5.64575451682416,0.72806032927615,240.605209175606,0.420091324200913,0.467210046914491,0.235100875813564,0.00530935276953598,0.00100953573867275,21.41,-1.98,-0.521937247907027,-0.833580123999443,0.711509210909961,2.17957911697405,1.6733254538121
"11","147",4.74853211648347,0.520006747655393,271.162759003162,0.323321793084843,0.377098710187089,0.182829881224782,0.00170435527678478,0.000165855961438585,20.8,-1.75,-0.521937247907027,-0.729489261089929,0.564618951292886,1.26390247123209,0.788659930844351
"12","148",5.03966686790002,0.626103204207361,256.729522256631,0.194744335033812,0.365291678633222,0.158269498551399,1.58472796558637e-07,4.69715453045257e-13,20.7,-1.46,-0.521937247907027,-0.225751374339829,0.191640525164053,0.735772430409365,2.30944729873061e-09
"13","180",4.82229712765688,0.511094153526022,329.061724865693,0.229095503252071,0.303499772530841,0.116601972037748,0.00159884640323846,0.000235749446953736,18.3,-1.26,-0.521937247907027,-0.89517929036074,0.663033205194406,1.22828732906473,1.12736761894756
"14","187",5.74484274133029,0.876607903064842,179.914793648949,0.331307942871461,0.465796444247159,0.191321252039596,0.00643079775128797,0.00165798839739202,25.71,-2.36,-0.521937247907027,-0.88653558408677,0.821512341008893,2.50333671643566,1.54046039030533
